"identifier","setSpec","id","repository"
"oai:edshare.soton.ac.uk:451","74797065733D7265736F75726365","55136","16"
"oai:edshare.soton.ac.uk:455","6469766973696F6E733D756F732D66616337:756F732D6670","55137","16"
"oai:edshare.soton.ac.uk:455","74797065733D7265736F75726365","55138","16"
"oai:edshare.soton.ac.uk:456","6469766973696F6E733D756F732D66616337:756F732D6670","55139","16"
"oai:edshare.soton.ac.uk:456","74797065733D7265736F75726365","55140","16"
"oai:edshare.soton.ac.uk:457","6469766973696F6E733D756F732D66616337:756F732D6670","55141","16"
"oai:edshare.soton.ac.uk:457","74797065733D7265736F75726365","55142","16"
"oai:edshare.soton.ac.uk:458","6469766973696F6E733D756F732D66616337:756F732D6670","55143","16"
"oai:edshare.soton.ac.uk:458","74797065733D7265736F75726365","55144","16"
"oai:edshare.soton.ac.uk:459","6469766973696F6E733D756F732D66616337:756F732D6670","55145","16"
"oai:edshare.soton.ac.uk:459","74797065733D7265736F75726365","55146","16"
"oai:edshare.soton.ac.uk:460","6469766973696F6E733D756F732D66616337:756F732D6670","55147","16"
"oai:edshare.soton.ac.uk:460","74797065733D7265736F75726365","55148","16"
"oai:edshare.soton.ac.uk:461","6469766973696F6E733D756F732D66616337:756F732D6670","55149","16"
"oai:edshare.soton.ac.uk:461","74797065733D7265736F75726365","55150","16"
"oai:edshare.soton.ac.uk:462","6469766973696F6E733D756F732D66616337:756F732D6670","55151","16"
"oai:edshare.soton.ac.uk:462","74797065733D7265736F75726365","55152","16"
"oai:edshare.soton.ac.uk:468","6469766973696F6E733D756F732D66616337:756F732D6670","55153","16"
"oai:edshare.soton.ac.uk:468","74797065733D7265736F75726365","55154","16"
"oai:edshare.soton.ac.uk:469","6469766973696F6E733D756F732D66616337:756F732D6670","55155","16"
"oai:edshare.soton.ac.uk:469","74797065733D7265736F75726365","55156","16"
"oai:edshare.soton.ac.uk:479","6469766973696F6E733D756F732D66616337:756F732D6670","55157","16"
"oai:edshare.soton.ac.uk:479","74797065733D7265736F75726365","55158","16"
"oai:edshare.soton.ac.uk:480","6469766973696F6E733D756F732D66616337:756F732D6670","55159","16"
"oai:edshare.soton.ac.uk:480","74797065733D7265736F75726365","55160","16"
"oai:edshare.soton.ac.uk:481","6469766973696F6E733D756F732D66616337:756F732D6670","55161","16"
"oai:edshare.soton.ac.uk:481","74797065733D7265736F75726365","55162","16"
"oai:edshare.soton.ac.uk:482","6469766973696F6E733D756F732D66616337:756F732D6670","55163","16"
"oai:edshare.soton.ac.uk:482","74797065733D7265736F75726365","55164","16"
"oai:edshare.soton.ac.uk:483","6469766973696F6E733D756F732D66616337:756F732D6670","55165","16"
"oai:edshare.soton.ac.uk:483","74797065733D7265736F75726365","55166","16"
"oai:edshare.soton.ac.uk:484","6469766973696F6E733D756F732D66616337:756F732D6670","55167","16"
"oai:edshare.soton.ac.uk:484","74797065733D7265736F75726365","55168","16"
"oai:edshare.soton.ac.uk:485","6469766973696F6E733D756F732D66616337:756F732D6670","55169","16"
"oai:edshare.soton.ac.uk:485","74797065733D7265736F75726365","55170","16"
"oai:edshare.soton.ac.uk:486","6469766973696F6E733D756F732D66616337:756F732D6670","55171","16"
"oai:edshare.soton.ac.uk:486","74797065733D7265736F75726365","55172","16"
"oai:edshare.soton.ac.uk:487","6469766973696F6E733D756F732D66616337:756F732D6670","55173","16"
"oai:edshare.soton.ac.uk:487","74797065733D7265736F75726365","55174","16"
